run	time	firm	entrant	price	output	mcosts	profits	rule	N	K	firms	theta	global	rule_pram
1	6	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	6	4	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	7	1	0.679	0.094	0.585	0.009	0.00	20	10	20	0.85	0.208	0.600
1	6	8	1	0.679	0.101	0.579	0.010	1.00	20	10	20	0.85	0.208	0.600
1	6	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	6	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	12	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	13	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	14	1	0.679	0.126	0.554	0.016	0.00	20	10	20	0.85	0.208	0.600
1	6	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	6	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	6	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	6	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	7	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	7	4	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	7	1	0.656	0.096	0.561	0.009	0.00	20	10	20	0.85	0.208	0.600
1	7	8	1	0.656	0.133	0.523	0.018	1.00	20	10	20	0.85	0.208	0.600
1	7	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	7	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	12	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	14	1	0.656	0.115	0.542	0.013	0.00	20	10	20	0.85	0.208	0.600
1	7	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	7	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	7	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	7	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	8	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	3	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	8	4	0	0.000	0.000	0.741	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	5	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	6	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	7	1	0.632	0.154	0.478	0.024	0.00	20	10	20	0.85	0.208	0.600
1	8	8	1	0.632	0.108	0.523	0.012	1.00	20	10	20	0.85	0.208	0.600
1	8	9	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	10	0	0.000	0.000	0.767	0.000	1.00	20	10	20	0.85	0.208	0.600
1	8	11	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	12	0	0.000	0.000	0.694	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	13	0	0.000	0.000	0.714	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	14	1	0.632	0.106	0.525	0.011	0.00	20	10	20	0.85	0.208	0.600
1	8	15	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	16	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	17	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	8	18	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	8	19	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	8	20	0	0.000	0.000	0.000	0.000	1.00	20	10	20	0.85	0.208	0.600
1	9	1	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
1	9	2	0	0.000	0.000	0.000	0.000	0.00	20	10	20	0.85	0.208	0.600
